Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1986-04-17,WSH,DF,1,,"MacLellan, Brian",NYR,4-3,WSH,1,1:16
1986-04-20,EDM,DF,2,,"Anderson, Glenn",EDM,6-5,CGY,1,1:04
1986-04-23,HAR,DF,4,,"Dineen, Kevin",HAR,2-1,MTL,1,1:07
1986-04-23,NYR,DF,4,,"Brooke, Bob",NYR,6-5,WSH,1,2:40
1986-04-26,STL,DF,5,,"Reeds, Mark",STL,4-3,TOR,1,7:11
1986-04-29,MTL,DF,7,x,"Lemieux, Claude",MTL,2-1,HAR,1,5:55
1986-05-05,NYR,CF,3,,"Lemieux, Claude",MTL,4-3,NYR,1,9:41
1986-05-12,STL,CF,6,,"Wickenheiser, Doug",STL,6-5,CGY,1,7:30
1986-05-18,CGY,F,2,,"Skrudland, Brian",MTL,3-2,CGY,1,0:09
1987-04-08,HAR,DSF,1,,"MacDermid, Paul",HAR,3-2,QUE,1,2:20
1987-04-09,MTL,DSF,2,,"Näslund, Mats",MTL,4-3,BOS,1,2:38
1987-04-09,STL,DSF,2,,"Lanz, Rick",TOR,3-2,STL,1,10:17
1987-04-11,CHI,DSF,3,,"Burr, Shawn",DET,4-3,CHI,1,4:51
1987-04-11,WIN,DSF,3,,"Bullard, Mike",CGY,3-2,WIN,1,3:53
1987-04-16,QUE,DSF,6,x,"Šťastný, Peter",QUE,5-4,HAR,1,6:05
1987-04-18,WSH,DSF,7,x,"LaFontaine, Pat",NYI,3-2,WSH,4,68:47
1987-04-21,EDM,DF,1,,"Anderson, Glenn",EDM,3-2,WIN,1,0:36
1987-04-26,QUE,DF,4,,"Näslund, Mats",MTL,3-2,QUE,1,5:30
1987-04-27,TOR,DF,4,,"Allison, Mike",TOR,3-2,DET,1,9:31
1987-05-04,PHI,CF,1,,"Sinisalo, Ilkka",PHI,4-3,MTL,1,9:11
1987-05-20,EDM,F,2,,"Kurri, Jari",EDM,3-2,PHI,1,6:50
1988-04-06,NYI,DSF,1,,"LaFontaine, Pat",NYI,4-3,NJD,1,6:11
1988-04-10,BUF,DSF,4,,"Tucker, John",BUF,6-5,BOS,1,5:32
1988-04-10,NJD,DSF,4,,"Sutter, Brent",NYI,5-4,NJD,1,15:07
1988-04-10,PHI,DSF,4,,"Craven, Murray",PHI,5-4,WSH,1,1:18
1988-04-12,DET,DSF,5,,"Olczyk, Eddie",TOR,6-5,DET,1,0:34
1988-04-16,WSH,DSF,7,x,"Hunter, Dale",WSH,5-4,PHI,1,5:57
1988-04-21,CGY,DF,2,,"Gretzky, Wayne",EDM,5-4,CGY,1,7:54
1988-05-04,BOS,CF,2,,"Brown, Doug",NJD,3-2,BOS,1,17:46
1988-05-09,DET,CF,4,,"Kurri, Jari",EDM,4-3,DET,1,11:02
1989-04-05,CGY,DSF,1,,"Reinhart, Paul",VAN,4-3,CGY,1,2:47
1989-04-05,STL,DSF,1,,"Hull, Brett",STL,4-3,MNS,1,11:55
