Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
511,Jake Bean,25,CBJ,D,72,4,9,13,-10,32,1.7,4,0,0,0,9,0,0,76,5.3,1176,16:20,110,28,0,0,,beanja01
512,Erik Černák,26,TBL,D,69,2,11,13,5,63,3.0,2,0,0,0,11,0,0,53,3.8,1324,19:11,109,198,0,0,,cernaer01
513,Brandon Duhaime,26,TOT,RW,80,5,8,13,-5,70,0.1,4,0,1,0,8,0,0,92,5.4,869,10:52,37,208,4,6,40.0,duhaibr01
514,Dante Fabbro,25,NSH,D,56,3,10,13,9,24,2.9,3,0,0,0,10,0,0,65,4.6,916,16:21,88,45,0,0,,fabbrda01
515,Cody Glass,24,NSH,C,41,6,7,13,-9,20,0.6,6,0,0,1,6,1,0,82,7.3,551,13:26,20,31,100,117,46.1,glassco01
516,Boris Katchouk,25,TOT,LW,59,7,6,13,-6,12,0.8,6,0,1,0,6,0,0,70,10.0,677,11:29,14,82,17,22,43.6,katchbo01
517,Johnathan Kovacevic,26,MTL,D,62,6,7,13,11,42,3.3,6,0,0,0,7,0,0,46,13.0,1024,16:31,83,75,0,0,,kovacjo01
518,Mason Lohrei,23,BOS,D,41,4,9,13,-2,18,2.1,3,1,0,1,7,2,0,43,9.3,695,16:57,63,32,0,0,,lohrema01
519,Tanner Pearson,31,MTL,LW,54,5,8,13,-12,21,0.2,4,1,0,1,7,1,0,77,6.5,699,12:56,35,50,5,17,22.7,pearsta01
520,Brett Pesce,29,CAR,D,70,3,10,13,10,20,3.9,3,0,0,1,10,0,0,107,2.8,1420,20:17,113,25,0,0,,pescebr01
521,Nick Seeler,30,PHI,D,71,1,12,13,9,78,3.5,1,0,0,0,8,0,4,100,1.0,1203,16:57,205,132,0,0,,seeleni01
522,Nico Sturm,28,SJS,C,63,5,8,13,-25,12,-0.3,4,0,1,0,8,0,0,69,7.2,924,14:40,39,75,497,330,60.1,sturmni01
523,Nathan Walker,29,STL,C,45,7,6,13,-1,18,1.2,7,0,0,0,6,0,0,43,16.3,486,10:49,35,95,20,22,47.6,walkena01
524,Nathan Bastian,26,NJD,RW,54,5,7,12,-10,32,0.5,5,0,0,1,7,0,0,57,8.8,549,10:10,27,143,14,13,51.9,bastina01
525,Colin Blackwell,30,CHI,C,44,8,4,12,-2,10,1.1,7,1,0,2,4,0,0,88,9.1,638,14:30,22,45,32,38,45.7,blackco01
526,Connor Brown,30,EDM,RW,71,4,8,12,-8,10,-0.4,4,0,0,0,8,0,0,108,3.7,909,12:48,24,32,17,24,41.5,brownco02
527,Ryan Carpenter,33,SJS,C,62,5,7,12,-16,6,0.2,5,0,0,0,7,0,0,58,8.6,688,11:06,31,47,242,264,47.8,carpery01
528,Mathew Dumba,29,TOT,D,76,4,8,12,-18,88,1.3,4,0,0,0,8,0,0,86,4.7,1500,19:44,108,202,0,1,0.0,dumbama01
529,Barclay Goodrow,30,NYR,RW,80,4,8,12,-13,78,-0.5,3,0,1,1,8,0,0,61,6.6,1005,12:34,86,170,337,287,54.0,goodrba01
530,A.J. Greer,27,CGY,LW,59,6,6,12,-7,35,0.6,5,1,0,0,6,0,0,57,10.5,521,8:50,24,100,4,4,50.0,greeraj01
